Metropolitan area,Unweighted,Weighted by wage,BA share,Median income,White share,Owner share
"Baton Rouge, LA",0.3,0.36,0.28,57,0.59,0.68
"Las Vegas-Henderson-Paradise, NV",0.3,0.36,0.28,57,0.58,0.68
"Riverside-San Bernardino-Ontario, CA",0.3,0.37,0.24,62,0.52,0.63
"Scranton–Wilkes-Barre–Hazleton, PA",0.3,0.36,0.21,52,0.61,0.63
"McAllen-Edinburg-Mission, TX",0.3,0.31,0.18,42,0.1,0.63
"Grand Rapids-Wyoming, MI",0.3,0.37,0.32,62,0.8,0.68
"Lancaster, PA",0.3,0.32,0.32,57,0.88,0.68
"Bakersfield, CA",0.3,0.27,0.16,52,0.49,0.56
"Stockton-Lodi, CA",0.3,0.33,0.21,52,0.56,0.58
"Cape Coral-Fort Myers, FL",0.3,0.33,0.28,55,0.85,0.71
